-12,貝克島,豪蘭島
-11,美屬薩摩亞,賈維斯島,金曼礁,中途島,帕邁拉,紐埃
-10,玻里尼西亞,夏威夷,阿留申,約翰斯頓,庫克
-9.5,馬克薩斯
-9,甘比爾,阿拉斯加
-8,克利珀頓島,下加利福尼亞,艾伯塔,卑詩,克利珀,加利福尼亞,俄勒岡,華盛頓,內華達,愛達荷,皮特肯
-7,努納武特,奇瓦瓦,納亞里特,錫那羅亞,索諾拉,勞埃德明斯特,薩斯喀徹溫,亞利桑那,科羅拉多,蒙大拿,新墨西哥,猶他,懷俄明,部分愛達荷,俄勒岡,堪薩斯,內布拉斯加,北達科他,南達科他,德克薩斯
-6,尼加拉瓜,宏都拉斯,瓜地馬拉,薩爾瓦多,哥斯大黎加,加拉帕戈斯,貝里斯,墨西哥,北美大平原,德克薩斯,美國內陸高地,曼尼托巴,努納武特,安大略,薩斯喀徹溫,安大略,魁北克
-5,秘魯,巴拿馬,牙買加,古巴,哥倫比亞,海地,復活節,巴哈馬,厄瓜多,華盛頓,紐約,美國,俄亥俄河,金塔納羅奧,阿克里,亞馬孫,密西根,巴霍努埃沃淺灘,納弗沙,塞拉尼拉,開曼
-4,委內瑞拉,千里達及托巴哥,聖文森及格瑞那丁,聖露西亞,聖克里斯多福及尼維斯,巴拉圭,格瑞那達,蓋亞那,多明尼加,多米尼克,巴貝多,加勒比,安地卡及巴布達,波多黎各,聖地亞哥,智利,馬托格羅索,南馬托格羅索,朗多尼亞,羅賴馬,圖勒空,維京群島,安圭拉,百慕達,蒙塞拉特,特克斯,凱科斯,拉布拉多,新不倫瑞克,新斯科舍,愛德華王子島
-3.5,拉布拉多,紐芬蘭
-3,烏拉圭,阿根廷,蘇利南,圭亞那,聖皮埃爾和密克隆,帕爾默,羅瑟拉,福克蘭,戈亞斯,托坎廷斯,帕拉,阿馬帕,巴西,聖保羅,巴西利亞
-2,聖赫倫那,阿森松,特里斯坦,達庫尼亞,曼島,澤西,費爾南多·迪諾羅尼亞,特林達迪,馬丁瓦斯,羅卡斯,聖佩德羅,聖保羅
-1,法羅,亞速爾,維德角
0,多哥,馬利,塞內加爾,獅子山,摩洛哥,茅利塔尼亞,愛爾蘭,賴比瑞亞,馬德拉,加那利,象牙海岸,南極洲,葡萄牙,英國,布吉納法索,甘比亞,加納,幾內亞,幾內亞比索,冰島
1,梵蒂岡,突尼西亞,斯洛維尼亞,瑞士,瑞典,斯洛伐克,塞爾維亞,挪威,聖多美普林西比,聖馬利諾,波蘭,奈及利亞,尼日,納米比亞,蒙特內哥羅,摩納哥,馬爾他,馬其頓,盧森堡,科索沃,義大利,列支敦斯登,捷克,匈牙利,加彭,剛果,法國,克羅埃西亞,赤道幾內亞,查德,直布羅陀,德國,丹麥,西班牙,剛果,中非,波士尼亞,赫塞哥維納,喀麥隆,貝南,阿爾巴尼亞,阿爾及利亞,安道爾,安哥拉,奧地利,比利時
2,辛巴威,尚比亞,烏克蘭,盧安達,敘利亞,史瓦帝尼,羅馬尼亞,莫三比克,摩爾多瓦,馬拉威,立陶宛,約旦,賴索托,利比亞,黎巴嫩,拉脫維亞,以色列,希臘,愛沙尼亞,芬蘭,埃及,賽普勒斯,加里寧格勒,亞克羅提利,德凱利亞,南非,荷蘭,波札那,保加利亞,蒲隆地
3,葉門,烏干達,土耳其,坦尚尼亞,索馬利亞,蘇丹,南蘇丹,卡達,沙烏地阿拉伯,馬達加斯加,科威特,肯亞,衣索比亞,伊拉克,厄利垂亞,馬約特,吉布地,俄羅斯,昭和,愛德華王子,莫斯科,巴林,白俄羅斯,葛摩
3.5,伊朗
4,阿聯,阿曼,塞席爾,模里西斯,留尼旺,喬治亞,阿斯特拉罕,薩馬拉,薩拉托夫,烏德穆爾特,烏里揚諾夫斯克,亞美尼亞,亞塞拜然,玻利維亞
4.5,阿富汗
5,烏茲別克,巴基斯坦,土庫曼,塔吉克,凱爾蓋朗,加拿大,渥太華,馬爾地夫,多倫多,克羅澤,赫德島,麥克唐納,巴什科爾托斯坦,車里雅賓斯克,漢特曼西自治區,庫爾干,奧倫堡,彼爾姆,斯維爾德洛夫斯克,秋明,亞馬爾涅涅茨,莫森
5.5,印度,斯里蘭卡
5.75,尼泊爾
6,鄂木斯克,沃斯托克,英屬印度,哈薩克,孟加拉,不丹,吉爾吉斯
6.5,科科斯,基林,緬甸
7,越南,泰國,科布多,柬埔寨,寮國,印度尼西亞,烏布蘇,巴彥烏列蓋,阿爾泰,阿爾泰,聖誕島,科麥羅沃,哈卡斯,克拉斯諾亞爾斯克,新西伯利亞, 托木斯克,圖瓦,戴維斯,蘇門答臘,爪哇,加里曼丹
8,馬來西亞,中華民國,新加坡,菲律賓,新疆,澳門,汶萊,北京,中國,台灣,臺灣,香港,台北,蒙古,布里亞特共和國,伊爾庫茨克,西澳大利亞,蘇拉威西島,峇里島,東努沙登加拉,西努沙登加拉,東加里曼丹,南加里曼丹
9,阿穆爾,帛琉,薩哈,外貝加爾,馬魯古,巴布亞,西巴布亞,東帝汶,日本,北韓,南韓
9.5,南澳大利亞 
10,楚克,巴布亞紐幾內亞,雅浦島,關島,澳洲,雪梨,坎培拉,馬里亞納,昆士蘭,新南威爾斯,維多利亞,塔斯馬尼亞,猶太自治,哈巴羅夫斯克,濱海,迪蒙·迪維爾
10.5,豪勳爵
11,萬那杜,新喀里多尼亞,索羅門,馬加丹,薩哈林,凱西站,麥夸里,諾福克,布干維爾,密克羅尼西亞
12,吐瓦魯,馬紹爾,諾魯,斐濟,瓦利斯和富圖納,威克島,麥克默多,阿蒙森,楚科奇,堪察加,麥克默,紐西蘭,吉爾伯特
13,菲尼克斯,薩摩亞,東加
14,萊恩,吉里巴斯